涨停原因类别[20260305],股票代码,market_code,code
皮鞋+智能制造,603001.SH,17,603001
,600599.SH,22,600599
扭亏预告+宝鸡国资+男装品牌,002569.SZ,33,002569
顺酐扩产+员工持股+LPG深加工,002986.SZ,33,002986
算力租赁+文生视频+年报预增,600666.SH,17,600666
,000638.SZ,33,000638
控制权变更+防伪溯源+彩票印制+福建,002235.SZ,33,002235
复牌+金属铟+ITO靶材,000711.SZ,33,000711
光学光电子+Mini LED+电子纸+国企改革,688055.SH,17,688055
Micro LED+光芯片+碳化硅+商业航天,600703.SH,17,600703
光学龙头+人形机器人+3D ToF+重组,002456.SZ,33,002456
偏光片+产能释放+国企,920001.BJ,151,920001
智能控制阀+国产化替代+新能源+新型工业化,002877.SZ,33,002877
丙烯酸酯投产+芯片概念+天津国资+新材料,600800.SH,17,600800
重整除权+创新药CDMO+合成生物,000908.SZ,33,000908
电网设备+可控核聚变+天津国资,600468.SH,17,600468
AI眼镜+车载显示+MiniLED,002983.SZ,33,002983
算力租赁+北京国资+IDC,300895.SZ,33,300895
重整完成+算力中心+家装AI,002713.SZ,33,002713
电网设备+商业航天+高温合金,002471.SZ,33,002471
CPO光模块+增资光彩芯辰+精密箱体,002796.SZ,33,002796
ST保壳+动保兽药+资产剥离完成,002868.SZ,33,002868
,301057.SZ,33,301057
固态电池+纺织机器人+高端纺机,003036.SZ,33,003036
CPO硅光模块+英伟达产业链+鄂州投产,001267.SZ,33,001267
人形机器人+AI缝纫机+智能制造+股权转让,603337.SH,17,603337
电网设备+机器人+储能,002857.SZ,33,002857
CPO+商业航天+玻璃基板,603773.SH,17,603773
AI教育+职业教育+回购,605098.SH,17,605098
AI数据库+向量数据库+DeepSeek大模型,688031.SH,17,688031
,002843.SZ,33,002843
玻璃纤维纱线+AI智慧工厂+纺织机械+回购注销,600545.SH,17,600545
电子纸+汽车电子+液晶显示,002952.SZ,33,002952
烟标+管制药品+半导体并购预期,603058.SH,17,603058
电网设备+中标+特高压,002339.SZ,33,002339
量子科技+AI金融+银行IT龙头,000555.SZ,33,000555
安全门锁+数据要素+智能制造+华为概念,605268.SH,17,605268
氢能物流+电商物流+ST博弈,603813.SH,22,603813
电网设备+特高压中标+央企,601179.SH,17,601179
航空物流+跨境电商+一带一路,002800.SZ,33,002800
新能源装机+年报预增+央企,600744.SH,17,600744
锆钛矿+陶瓷+摘帽预期,603838.SH,22,603838
脑机接口+AI大模型+人形机器人,002195.SZ,33,002195
PTA+石油化工+化纤+文莱二期,000703.SZ,33,000703
百货零售+REITs调整,600828.SH,17,600828
Micro LED+商业航天+北美市场,300162.SZ,33,300162
业绩预增+汽车热管理+长安供应链,002592.SZ,33,002592
,000004.SZ,33,000004
,002512.SZ,33,002512
可控核聚变+核电装备+上海国资+机器人,601727.SH,17,601727
核电石墨+固态电池+炭素龙头,600516.SH,17,600516
算力电源+军工无人装备+扭亏为盈,600590.SH,17,600590
生物航煤+北京国资+氢能源,300072.SZ,33,300072
算力UPS+氢能+固态电池+储能,002733.SZ,33,002733
MicroLED+AI眼镜+国企,002449.SZ,33,002449
草酸扩产+煤化工,600844.SH,17,600844
商业航天+MicroLED+裸眼3D,300269.SZ,33,300269
重整继续经营+海南文旅+国资入主,000793.SZ,33,000793
低空经济+车联网+钢制车轮,002355.SZ,33,002355
Micro LED+光模块+回购,300303.SZ,33,300303
半导体材料+存储芯片+光纤概念,603688.SH,17,603688
特高压中标+商业航天+光纤光缆,300265.SZ,33,300265
算力基建+干式变压器+北美出口,000533.SZ,33,000533
AI服务器+可转债扩产+汽车电子,002913.SZ,33,002913
燃气轮机+可控核聚变+央企,600875.SH,17,600875
偏光片+OLED+深圳国资,000045.SZ,33,000045
VLCC订单+船舶制造+业绩预增,603268.SH,22,603268
AI显示+MicroLED+央企,000727.SZ,33,000727
显示模组+芯片封测+机器人,002845.SZ,33,002845
LED显示+海外高增+业绩预增,300389.SZ,33,300389
特高压+海上风电+电网设备,002498.SZ,33,002498
铬盐龙头+储能+固态电池+BE合作,603067.SH,17,603067
轨交配套+股权转让+专精特新,605298.SH,17,605298
工业母机+面板+双碳+湖北国资,000509.SZ,33,000509
CPO+MiniLED+深圳国资,002429.SZ,33,002429
Micro LED+AI眼镜+北京国资,300323.SZ,33,300323
MiniLED+光学光电子+车载LED+业绩预增,300241.SZ,33,300241
定增过审+工业母机+智能制造+扬州国资,002559.SZ,33,002559
AI视讯+MicroLED+XR拍摄+业绩预增,002587.SZ,33,002587
MicroLED+MiniLED+全色系芯片,300708.SZ,33,300708
人形机器人+数控螺纹磨床+高端机床,002520.SZ,33,002520
东数西算+数据中心+扭亏为盈+央企,000815.SZ,33,000815
,603318.SH,17,603318
车载显示+福建国资,000536.SZ,33,000536
芯片+盐湖提锂+央企,000920.SZ,33,000920
MicroLED+三星供应链+光学光电子,688079.SH,17,688079
