涨停原因类别[20260430],股票代码,code,market_code
汽车销售+医药器械+物业租赁,000007.SZ,000007,33
,000010.SZ,000010,33
,000016.SZ,000016,33
,000056.SZ,000056,33
AI服务器电源+国产算力+信创+CPU+央企,000066.SZ,000066,33
一季度扭亏为盈+房地产+北京国资,000402.SZ,000402,33
一季报大增+草甘膦+央企,000553.SZ,000553,33
一季报大增+困境资管+海南自贸区,000567.SZ,000567,33
半导体资产注入+ST博弈+房地产,000609.SZ,000609,33
功率半导体+华鲲振宇并购预期+成都国资,000628.SZ,000628,33
,000632.SZ,000632,33
,000639.SZ,000639,33
一季报大增+湖北国资+证券,000783.SZ,000783,33
一季度扭亏+中药大健康+机构新进,000790.SZ,000790,33
硫铁矿涨价+新能源材料+广东国资,000833.SZ,000833,33
江西中久拟入主+房地产+ST板块,000838.SZ,000838,33
,000909.SZ,000909,33
,000911.SZ,000911,33
整车复产+海外布局+减亏,000980.SZ,000980,33
一季报增长+烘焙新品+海外建厂+股价波动,001215.SZ,001215,33
一季报高增+工业清洗剂+3C电子,001218.SZ,001218,33
成飞概念+航空收购+精密零部件,001268.SZ,001268,33
摘帽+T/R芯片+商业航天,001270.SZ,001270,33
一季报增长+可转债受理+商业航天,001316.SZ,001316,33
,001896.SZ,001896,33
半导体洁净室+海外EPC+城市更新,002081.SZ,002081,33
,002102.SZ,002102,33
商业航天+稀有金属+国企+章建平新进,002149.SZ,002149,33
半导体真空泵+数据中心压缩机+光伏真空泵,002158.SZ,002158,33
,002175.SZ,002175,33
AI应用+世界杯+广州国资,002181.SZ,002181,33
一季报大增+锂矿+固态电池,002192.SZ,002192,33
ST板块+油气服务+新疆国资,002207.SZ,002207,33
,002209.SZ,002209,33
,002210.SZ,002210,33
防伪溯源+控制权变更,002235.SZ,002235,33
一季报增长+锂矿资源+固态电池+津巴布韦出口,002240.SZ,002240,33
摘帽申请+一季报暴增+IDC并表+算力租赁,002289.SZ,002289,33
,002323.SZ,002323,33
,002368.SZ,002368,33
,002431.SZ,002431,33
收购莱恩光电+光气资源+精细化工+光刻胶概念,002453.SZ,002453,33
,002501.SZ,002501,33
,002547.SZ,002547,33
,002581.SZ,002581,33
