code,股票代码,涨停原因类别[20260508],market_code
002491,002491.SZ,光纤涨价+数据中心+通信电缆,33
002193,002193.SZ,,33
600855,600855.SH,军工电子+反无人机+央企,17
603869,603869.SH,摘帽申请+算力租赁+IT服务,22
600345,600345.SH,商业航天+参股长飞光纤+央企,17
000782,000782.SZ,军工锦纶+10万吨项目+出口增长,33
002642,002642.SZ,AI应用+华为昇腾+国企改革,33
688818,688818.SH,商业航天+固态电池+业绩增长+次新股,17
600076,600076.SH,半导体并购+集装箱地板+无锡国资,17
603359,603359.SH,,22
002580,002580.SZ,液冷+储能+电池+山东国资,33
002501,002501.SZ,,33
688260,688260.SH,MLCC扩产+陶瓷热沉+消费电子,17
000582,000582.SZ,港口航运+30亿泊位投资+西部陆海新通道+广西国资,33
600340,600340.SH,,22
600180,600180.SH,,22
003036,003036.SZ,高端纺机+电子布纺织机+固态电池+纺织机器人,33
600302,600302.SH,,22
000678,000678.SZ,机器人轴承+汽车轴承+湖北国资,33
002536,002536.SZ,机器人+液冷服务器+汽车热管理,33
603012,603012.SH,智慧矿山+华为合作+煤机装备,17
000710,000710.SZ,AI医疗+三代测序+基因检测NIPT,33
600480,600480.SH,机器人传感器+液冷+央企,17
000909,000909.SZ,ST博弈+杭州国资+智慧交通+房地产,33
600545,600545.SH,玻纤设备+华为合作+纺织机械+减亏,17
000016,000016.SZ,PCB+半导体+央企华润+保壳预期,33
605289,605289.SH,AI算力+储能+一季报大增,17
600228,600228.SH,摘帽申请+AI导购+效果营销,22
002009,002009.SZ,人形机器人+锂电循环+智能装备,33
002082,002082.SZ,,33
605169,605169.SH,LNG/CNG+西部大开发+现金分红,17
600234,600234.SH,建筑工程+定增+算力租赁,17
600381,600381.SH,申请摘帽+酒水高增+虫草龙头,22
920270,920270.BJ,机器人驱动关节+越野改装+外销占比高,151
603828,603828.SH,控制权变更+光伏建筑一体化+装配化装修,22
000547,000547.SZ,商业航天+天目一号+央企,33
002431,002431.SZ,,33
605189,605189.SH,PEEK材料+人形机器人+筒子纱龙头+一季度暴增,17
600818,600818.SH,,22
600078,600078.SH,磷化工+新材料+业绩扭亏,17
002965,002965.SZ,人形机器人+液冷服务器+汽车零部件,33
000839,000839.SZ,网络安全+AI数据标注+央企背景,33
002317,002317.SZ,创新药+流感+MASH,33
002091,002091.SZ,锂电池+固态电池+张家港国资,33
600678,600678.SH,,22
600783,600783.SH,参股蓝箭航天+创投+山东国资,17
002691,002691.SZ,机器人+煤矿装备+ST板块,33
600984,600984.SH,煤矿智能装备+工程机械+一带一路出口+陕西国资,17
603459,603459.SH,PCB扩产+1.6T光模块+商业航天,17
300488,300488.SZ,人形机器人+业绩高增+精密刀具,33
002979,002979.SZ,人形机器人+无框电机+订单放量,33
600724,600724.SH,商业地产+并购转型预期+国企改革,17
002198,002198.SZ,,33
002866,002866.SZ,钠离子电池+储能+越南工厂+FPC,33
002798,002798.SZ,卫浴陶瓷+华为生态+AI布局,33
605006,605006.SH,玻纤涨价+风电纱+山东国资,17
603278,603278.SH,人形机器人+腱绳+商业航天+胎圈钢丝,17
603878,603878.SH,不锈钢管+核电+海工装备,17
002323,002323.SZ,,33
600730,600730.SH,集成电路+国资背景+ST板块,22
002207,002207.SZ,ST板块+油气服务+新疆国资,33
601718,601718.SH,,22
605566,605566.SH,机器人皮肤+染料+2025年报预增,17
600130,600130.SH,摘帽+参股华大北斗+汽车电子+消费电子,17
000010,000010.SZ,,33
603922,603922.SH,,22
002552,002552.SZ,PCB铜箔+黄金采选+Q1业绩大增,33
603378,603378.SH,,22
002569,002569.SZ,控制权变更+扭亏+男装品牌+宝鸡国资,33
603618,603618.SH,光纤涨价+特高压+锂电铜箔+一季报增长,17
600759,600759.SH,,22
600530,600530.SH,保健品+宠物新品+益生菌+养老护理,17
300258,300258.SZ,人形机器人+差速器龙头+样品验证,33
603028,603028.SH,人形机器人+光伏+国企,17
605055,605055.SH,机器人+印染+智慧工厂,17
000677,000677.SZ,,33
002693,002693.SZ,多肽出口+申请撤销退市风险警示+扭亏为盈,33
920200,920200.BJ,,151
002726,002726.SZ,,33
002211,002211.SZ,有机硅+一季度扭亏+ST板块,33
603189,603189.SH,AI应用+数字孪生+低空经济,22
600370,600370.SH,,22
000720,000720.SZ,光纤+电缆+实控人中国华能+央企,33
603667,603667.SH,人形机器人+丝杠+商业航天,17
002930,002930.SZ,算力+石化仓储+交割资质,33
002655,002655.SZ,增持+车载声学+MEMS芯片,33
003032,003032.SZ,人形机器人+AI培训+摘帽预期,33
600936,600936.SH,AI应用+智慧交通+机器人概念+广西国资,17
002929,002929.SZ,算力租赁+Token工厂+通信网络管维,33
600491,600491.SH,,22
600965,600965.SH,,22
605336,605336.SH,集成灶+退市保壳+ST板块,22
002031,002031.SZ,人形机器人+RV减速器+XT减速器,33
301183,301183.SZ,光隔离器+光通信+业绩高增,33
002629,002629.SZ,油服工程+光伏EPC+储能电站,33
001267,001267.SZ,硅光模块+硅光芯片+鄂州扩产+园林工程,33
300430,300430.SZ,,33
002289,002289.SZ,摘帽申请+一季报暴增+IDC并表+算力租赁,33
002918,002918.SZ,建筑陶瓷+数据中心+股份注销,33
603400,603400.SH,机器人+北美客户+汽车电子+锂电工具,17
600992,600992.SH,商业航天+钢丝绳龙头+国企改革,17
002222,002222.SZ,AI光通信+晶体龙头+一季报增长+中科院控股,33
000668,000668.SZ,摘帽预期+跨境物流转型+房地产去化,33
002281,002281.SZ,CPO+算力光模块+央企,33
600337,600337.SH,拟收购万德溙+铜缆高速连接+重整预期+回购延期,22
003004,003004.SZ,摘帽申请+安消一体化+智能安防,33
603758,603758.SH,人形机器人+真空镀膜+汽车零部件,17
603045,603045.SH,风光储能+数据中心+电接触材料+业绩大增,17
002030,002030.SZ,体外诊断+禽流感+广州国资,33
000659,000659.SZ,控制权变更+饮料代工,33
600343,600343.SH,航天央企+氢能装备+液力传动,17
000911,000911.SZ,制糖+超跌反弹+广西国资,33
600536,600536.SH,信创+麒麟OS+央企,17
600498,600498.SH,光纤光缆+卫星导航+华为算力+央企,17
002624,002624.SZ,异环首日流水过亿+AI游戏+电子竞技,33
002667,002667.SZ,,33
603580,603580.SH,年报扭亏+轻型输送带+新能源电池配件,22
600683,600683.SH,TOD轨道物业+拟剥离地产+北京国资,17
603937,603937.SH,电池铝箔+锂电池概念+扭亏为盈,17
002256,002256.SZ,盐湖提锂+光伏+精细化工+一季报增长,33
603636,603636.SH,算力租赁+Token工厂+AI政务+华为合作,17
