涨停原因类别[20260518],code,股票代码,market_code
油气储运+油气工程+一带一路+央企定增,600339,600339.SH,17
股份转让+小家电+露营经济,001259,001259.SZ,33
高速连接器+存储芯片,002055,002055.SZ,33
CPO光模块+先进封装+AI算力+武汉国资,000988,000988.SZ,33
人形机器人+智能物流+拟收购穗柯智能+央企,603082,603082.SH,17
机器人订单+清洁电器+小米客户,603657,603657.SH,17
长存投资+创投+核桃乳,603156,603156.SH,17
500kV变压器+算力+取向硅钢,603191,603191.SH,17
软磁铁氧体磁粉+机器人+AI服务器+次新股,301531,301531.SZ,33
算力+SST+电网设备,601126,601126.SH,17
间接持有长鑫存储股份+证券+安徽国资+财富管理,600909,600909.SH,17
算力租赁+物业管理+重整完成,002822,002822.SZ,33
碳酸锶+硫磺涨价+30万吨天青石项目+国家电投入主,600714,600714.SH,17
AI服务器电极箔+全球市占率第一+业绩高增,603115,603115.SH,17
,600180,600180.SH,22
中国电信旗下+AI短剧+智谱AI,600640,600640.SH,17
,000691,000691.SZ,33
算力租赁+广电5G+贵州国资,600996,600996.SH,17
半导体设备+芯慧联+工业杀菌剂,603360,603360.SH,17
,002342,002342.SZ,33
算力模组+人形机器人+卫星物联网,002881,002881.SZ,33
人形机器人+传感器+芯片,603121,603121.SH,17
,000838,000838.SZ,33
ST博弈+房地产+智慧交通+杭州国资,000909,000909.SZ,33
间接投资长鑫+环保水务+国企改革,000685,000685.SZ,33
,600488,600488.SH,17
AI算力上游+AISHI产品+铝电解电容+新能源,603989,603989.SH,17
存储芯片+定增扩产+业绩暴增,603316,603316.SH,17
,600379,600379.SH,17
,002634,002634.SZ,33
光通信测试+拟收购伽蓝特+AI眼镜+仪器仪表,002980,002980.SZ,33
,002082,002082.SZ,33
AI金融科技+投资科技+数字人民币,600446,600446.SH,17
华为HiPlay+音响龙头+端侧AI,002888,002888.SZ,33
光通信芯片+CPO+火腿,002515,002515.SZ,33
,600158,600158.SH,17
覆铜板+AI服务器+业绩高增,600183,600183.SH,17
,002620,002620.SZ,33
,002181,002181.SZ,33
生态园林+不减持+河南国资,002431,002431.SZ,33
高空风能+共享单车+ST反弹,600818,600818.SH,22
,605099,605099.SH,17
,002175,002175.SZ,33
,600678,600678.SH,22
间接投资长鑫科技+机器人关节+空调风叶,603726,603726.SH,17
,002529,002529.SZ,33
防伪瓶盖+化债预期+保健酒外销,002374,002374.SZ,33
重整协议+实控人变更+天然气+ST,000669,000669.SZ,33
存储芯片+股权变更+园林工程,605303,605303.SH,17
重整投资人招募+PBAT项目+民爆一体化,002360,002360.SZ,33
风电项目备案证+储能+定增募资+新疆国资,001258,001258.SZ,33
投资长鑫科技+半导体封装基板+水泥,000672,000672.SZ,33
,603021,603021.SH,22
物理AI+具身智能+机器人训练场,301313,301313.SZ,33
特种光纤+CPO+商业航天,688143,688143.SH,17
间接投资长鑫科技+合肥国资+区域零售,000417,000417.SZ,33
存储芯片+光纤材料+电子特气,603938,603938.SH,17
电力+煤炭+国企,600758,600758.SH,17
页岩气收购+天然气+贵州国资,600903,600903.SH,17
液冷服务器+定增扩产+风电装备,002272,002272.SZ,33
存储芯片+AI算力+业绩扭亏,301666,301666.SZ,33
