code,涨停原因类别[20260525],market_code,股票代码
002957,光器件耦合设备+半导体设备+精密零部件,33,002957.SZ
603001,皮鞋+C2M+一季报扭亏,17,603001.SH
002055,高速连接器+存储芯片+AI算力,33,002055.SZ
000988,800G光模块+AI算力+武汉国资,33,000988.SZ
000564,供销社+零售+海南自贸港,33,000564.SZ
300626,机器人换向器+控股股东股权转让+国企,33,300626.SZ
603823,PEEK材料+光刻胶颜料+有机颜料龙头,17,603823.SH
002940,,33,002940.SZ
002645,稀土永磁+机器人+一季报大增,33,002645.SZ
300835,芯片电感+服务器电源+越南扩产+永磁铁氧体,33,300835.SZ
600156,,17,600156.SH
600592,人形机器人+商业航天+关节轴承+漳州国资,17,600592.SH
600053,,22,600053.SH
002409,半导体前驱体+HBM+存储芯片+分红,33,002409.SZ
603256,电子布+PCB+H股发行+业绩暴增,17,603256.SH
603663,半导体产业链+锆铪分离+核级锆,17,603663.SH
603359,,22,603359.SH
600726,热电联产+煤炭+绿电转型+央企,17,600726.SH
002613,玻璃深加工+钙钛矿设备+建筑节能,33,002613.SZ
002745,MicroLED+光通信+PCB+一季报增长,33,002745.SZ
000980,整车复产+海外布局+新能源汽车,33,000980.SZ
002674,柔性电子皮肤+机器人材料+汽车内饰,33,002674.SZ
001365,,33,001365.SZ
603778,,17,603778.SH
002438,核电阀门+液冷服务器+商业航天,33,002438.SZ
002759,,33,002759.SZ
600180,,22,600180.SH
003036,电子布纺织机+纺织机器人+固态电池+高端纺机,33,003036.SZ
600996,算力租赁+广电5G+贵州国资,17,600996.SH
600302,控制权变更+缝制设备+机器人概念+西安国资,22,600302.SH
603360,半导体设备+芯慧联+工业杀菌剂,17,603360.SH
002585,MLCC离型膜+复合铜箔+扭亏为盈,33,002585.SZ
603790,,17,603790.SH
600520,先进封装+半导体设备+合肥国资,17,600520.SH
000016,华润保壳预期+PCB+存储芯片,33,000016.SZ
600637,超聚变IPO+AI应用+上海国资,17,600637.SH
600503,机器人+创新药+房地产,17,600503.SH
002634,美年大健康入主+预重整推进+无缝服装,33,002634.SZ
002980,光通信测试+伽蓝特并购+AI眼镜,33,002980.SZ
605198,浓缩果汁龙头+外销+回购注销,17,605198.SH
600234,算力租赁+抖音概念+建筑工程,17,600234.SH
600381,申请摘帽+酒水高增+虫草业务,22,600381.SH
002380,,33,002380.SZ
002888,,33,002888.SZ
300779,废塑料循环+危废处理,33,300779.SZ
001211,,33,001211.SZ
002388,第一大客户华为+六氟磷酸锂+电子信息产品销售,33,002388.SZ
603661,投资GPU公司+培育钻石+家居用品+出口,17,603661.SH
002156,先进封装+存储芯片封测+AMD链,33,002156.SZ
600735,资金占用清偿+石墨新材料+发制品出口,22,600735.SH
600603,煤炭+疆煤外运+回购,17,600603.SH
600863,新能源装机+煤电联营+央企,17,600863.SH
002951,储能电站+超级电容+回购注销,33,002951.SZ
002175,广西国资终止入主+智能物流+精密量具,33,002175.SZ
000409,采掘机械机器人+AI能源+采煤+山东国资,33,000409.SZ
600395,煤炭+煤电一体化+贵州国资,17,600395.SH
002691,机器人+煤矿装备+ST摘帽预期,33,002691.SZ
600376,间接持股宇树科技+城市更新+北京国资+一季报减亏,17,600376.SH
688110,H股上市+GPU布局+存储芯片,17,688110.SH
002897,800G高速连接器+华为链+CPO+液冷,33,002897.SZ
601608,矿山装备+人形机器人+央企,17,601608.SH
002012,电解电容器纸+特种纸+控股股东破产清算,33,002012.SZ
000966,火电+煤电装机+绿色转型+央企,33,000966.SZ
002297,硬质合金涨价+商业航天+湖南国资,33,002297.SZ
600172,金刚石散热+培育钻石+半导体+重大突破,17,600172.SH
603021,ST博弈+日用玻璃+委托贷款,22,603021.SH
603083,CPO概念+800G/1.6T光模块+订单旺盛,17,603083.SH
605111,功率半导体+人形机器人+MOSFET+先进封装,17,605111.SH
600186,算力到货+Token工厂+类ABF膜+味精龙头,17,600186.SH
603496,,17,603496.SH
002323,股权划转+枣庄国资+BIPV,33,002323.SZ
600730,半导体封测+AI教育+国资背景,22,600730.SH
300975,存储芯片+分销+机器人,33,300975.SZ
603595,碳化硅+股权转让+一季报增长,22,603595.SH
603010,PCB阻燃剂+磷系阻燃剂+泰国基地,17,603010.SH
002207,新疆国资+油气服务+转型预期,33,002207.SZ
605566,拟采购服务器+机器人皮肤+染料,17,605566.SH
000010,,33,000010.SZ
002741,股权激励+PCB化学品,33,002741.SZ
600851,创新药+APDC三期+医药制造,17,600851.SH
002552,PCB铜箔+黄金采选+Q1业绩大增,33,002552.SZ
002976,光通信散热布局+空气悬架+特斯拉概念,33,002976.SZ
603378,重整预期+建筑节能+ST板块,22,603378.SH
002735,薄膜电容+可控核聚变+军工电子,33,002735.SZ
000875,绿氢氨醇+新能源装机+央企,33,000875.SZ
688347,并购华力微+存储芯片+上海国资,17,688347.SH
600759,,22,600759.SH
603005,TSV封装+车规CIS+第三代半导体+CPO,17,603005.SH
603303,车载照明+车灯控制器+汽车电子+收购嘉利股份,17,603303.SH
688362,先进封装+AI芯片+转债赎回,17,688362.SH
603936,800G光模块PCB+AMB陶瓷衬板+AI算力,17,603936.SH
000677,,33,000677.SZ
000711,铟靶材+一季度扭亏+摘帽预期,33,000711.SZ
002693,摘帽+复牌+多肽出口+紫杉醇美国获批,33,002693.SZ
002045,,33,002045.SZ
002051,中东重建+国际工程+算力+一带一路,33,002051.SZ
002726,,33,002726.SZ
002938,PCB龙头+光模块+AI服务器+人形机器人,33,002938.SZ
603871,蒙煤贸易+中俄贸易+非洲物流,17,603871.SH
600370,瓶级聚酯切片+一季报扭亏+超跌反弹,22,600370.SH
605588,光掩膜版+半导体产业链+半导体显示,17,605588.SH
605580,培育钻石+芯片散热+热电联产,17,605580.SH
002717,,33,002717.SZ
002526,煤机+机器人+无人机,33,002526.SZ
603220,,17,603220.SH
600831,算力+广电5G+陕西国资,17,600831.SH
300196,PCB基材+玻纤制品,33,300196.SZ
