code,market_code,股票代码,涨停原因类别[20260623]
605366,17,605366.SH,光纤概念+含硫硅烷+电子级硅基材料
600171,17,600171.SH,模拟芯片+功率芯片+光通信+汽车电子
000426,33,000426.SZ,
600360,17,600360.SH,功率半导体+摘帽+吉林国资
002424,33,002424.SZ,集采中标+苗药龙头+创新药
002149,33,002149.SZ,
600259,17,600259.SH,
603789,22,603789.SH,摘帽+烘干机+农业机械
000506,33,000506.SZ,
603993,17,603993.SH,
002141,33,002141.SZ,覆铜板+PCB上游+扭亏为盈
600110,17,600110.SH,
002645,33,002645.SZ,
000630,33,000630.SZ,
603015,17,603015.SH,MCU芯片+核聚变+工业自动化
300835,33,300835.SZ,芯片电感+服务器电源+稀土永磁+业绩增长
603717,17,603717.SH,生猪养殖+功能性红曲+光伏
002580,33,002580.SZ,算力+液冷储能+电池+山东国资
002674,33,002674.SZ,磷化铟收购+机器人电子皮肤+汽车内饰皮革
603407,17,603407.SH,氧氯化锆+陶瓷载板+光通讯+业绩增长
600397,17,600397.SH,钨钽铌资产注入+磁选装备+江西国资
600540,17,600540.SH,
600743,17,600743.SH,酒店管理+物业管理+实控人筹划重组
002822,33,002822.SZ,申请撤销ST+物业管理+重整完成
002631,33,002631.SZ,家居产品+石墨烯+亏损收窄
600598,17,600598.SH,
603757,17,603757.SH,液冷泵+算力温控+泵业龙头
000882,33,000882.SZ,回购+社区商业+REITs
002196,33,002196.SZ,人形机器人+新能源驱动电机+国企改革
920035,151,920035.BJ,液冷+冷链装备+一季报增长
603210,17,603210.SH,新能源汽车零部件+小米汽车+一季报增长
000060,33,000060.SZ,
600365,22,600365.SH,葡萄酒+回购注销+电商业务
600405,17,600405.SH,AI智算中心电源+液冷超充+电源系统
002014,33,002014.SZ,包装材料+新产能投放+高股息+一季报增长
000691,33,000691.SZ,医药中间体+精细化工+股东增持+摘帽
605377,17,605377.SH,装饰原纸+高分红+盈利修复
002155,33,002155.SZ,
600708,17,600708.SH,物业管理+无ST风险+上海国资
000813,33,000813.SZ,创新药+重组胶原蛋白+降血脂药
600392,17,600392.SH,
000756,33,000756.SZ,创新药获批+解热镇痛原料药+阿尔茨海默症+国企改革
600545,17,600545.SH,
605589,17,605589.SH,
002138,33,002138.SZ,
603725,17,603725.SH,机器人+电子皮肤+高分子新材料+承诺不减持
600488,17,600488.SH,CPHI展会+创新药+甾体激素
001225,33,001225.SZ,澄清机器人概念+物料输送设备+出海
002021,33,002021.SZ,机器人概念+工业缝纫机+海外市场+国资背景
002522,33,002522.SZ,光纤油膏+POF热收缩膜+国企
600379,17,600379.SH,电子特气+氢能+真空灭弧室+央企
600719,17,600719.SH,热电联产+一季报增长+大连国资
002789,33,002789.SZ,
600362,17,600362.SH,
002634,33,002634.SZ,
601011,17,601011.SH,焦炉烘炉+石墨烯+氢能
000688,33,000688.SZ,
000831,33,000831.SZ,
603106,17,603106.SH,AI金融+全球化+债权回收+智能终端
002082,33,002082.SZ,
002592,33,002592.SZ,液冷技术储备+新能源汽车热管理+汽车零部件
603007,17,603007.SH,具身智能+定增募资10.77亿+传感器+IMU
601208,17,601208.SH,
600777,17,600777.SH,摘帽复牌+页岩油+债务化解
300961,33,300961.SZ,工业污水处理+智慧水务+控制权变更
002728,33,002728.SZ,止咳宝片+二线品种高增+中药+分红
