股票代码,market_code,code,涨停原因类别[20260630]
301379.SZ,33,301379,光学光电子+存储芯片+企业级SSD
002193.SZ,33,002193,ST摘帽预期+精纺呢绒+外销占比高
002055.SZ,33,002055,解除查封+高速连接器+CPU Socket
688286.SH,17,688286,机器人+MEMS传感器+送转
300873.SZ,33,300873,人形机器人+半导体AMHS+高送转分红
603657.SH,17,603657,家庭具身机器人+小米概念+定增受理
603118.SH,17,603118,800G交换机+硅光芯片+机器人代工+唐山国资
603322.SH,17,603322,算力租赁+智算业务
603823.SH,17,603823,光刻胶颜料+有机颜料+PEEK材料
002273.SZ,33,002273,AI光学+CPO硅透镜+AR眼镜+消费电子
688328.SH,17,688328,半导体设备+存储芯片+业绩大增
603577.SH,17,603577,特高压+电网设备出海+国网中标
600076.SH,17,600076,半导体并购+集装箱地板+无锡国资
000818.SZ,33,000818,算力租赁+光模块+英伟达+武汉国资
002816.SZ,33,002816,线束业务+半导体设备+申请摘帽+颖泉国资
002485.SZ,33,002485,实控人变更预期+文旅演艺+ST摘帽预期
002674.SZ,33,002674,
001331.SZ,33,001331,昨日复牌+七腾机器人+实控人变更+LNG运贸
002310.SZ,33,002310,并购重组+新能源+北京国资
603950.SH,17,603950,柴油动力单元+热管理+资产重组
002631.SZ,33,002631,石墨烯+家具+一季度亏损收窄
002822.SZ,33,002822,申请撤销ST+物业管理+固废资源化
000859.SZ,33,000859,光刻胶+拟收购金张科技+合肥国资
000100.SZ,33,000100,半导体显示+收购半导体+一季报增长+回购
603728.SH,17,603728,人形机器人+空心杯电机+一季报增长
603262.SH,17,603262,
002977.SZ,33,002977,商业航天+相控阵+固态微波前端
603379.SH,17,603379,氟化工+PVDF+六氟磷酸锂+业绩增长
600180.SH,22,600180,庭外重组+海外煤炭+委托加工
600405.SH,17,600405,AI智算中心电源+通信电源+液冷超充
688589.SH,17,688589,转股价下修+PLC芯片+半导体
002106.SZ,33,002106,玻璃基板封装+MED电子纸+触摸屏龙头
003043.SZ,33,003043,半导体设备+精密金属结构件+转债强赎
002182.SZ,33,002182,镁合金+机器人+商业航天+低空经济
301513.SZ,33,301513,固态电池+干法电极设备+锂电设备龙头+次新股
603033.SH,17,603033,橡胶制品+BDO+可降解塑料
000909.SZ,33,000909,大功率充电桩+资产优化+杭州国资
603559.SH,22,603559,ST摘帽+一季报扭亏+5G通信服务
002805.SZ,33,002805,磷酸铁锂+固态电池+定增扩产+一季报扭亏
000016.SZ,33,000016,华润保壳预期+PCB+存储芯片
002931.SZ,33,002931,优必选入主+机器人概念+园林机械零部件
688352.SH,17,688352,先进封装+显示驱动芯片+合肥国资
600379.SH,17,600379,氦气+电子特气+真空灭弧室+央企
