market_code,股票代码,涨停原因类别[20260703],code
33,301379.SZ,光学光电子+存储芯片+企业级SSD,301379
17,605068.SH,人形机器人+电子皮肤+汽车内饰,605068
33,002193.SZ,ST摘帽预期+精纺呢绒+外销,002193
17,603001.SH,,603001
33,002090.SZ,电气自动化+智慧能源,002090
22,603789.SH,控制权变更+光伏储能+农业机械,603789
22,600165.SH,长链二元酸+ST板块+合成生物,600165
33,000506.SZ,黄金+一季报扭亏+国企,000506
33,002141.SZ,覆铜板+PCB概念+盐湖提锂参股,002141
17,605305.SH,风电+储能消防+一季报增长+股东户数减少,605305
17,601069.SH,黄金+新疆国资+一季报增长,601069
17,603717.SH,生猪养殖+拟设AI公司+功能性红曲+光伏,603717
17,600592.SH,关节轴承+人形机器人+漳州国资,600592
33,001268.SZ,成飞概念+航空精密零部件+拟定增,001268
33,002353.SZ,燃气轮机+北美数据中心+油气装备,002353
33,002485.SZ,实控人变更预期+文旅演艺+ST摘帽,002485
17,688311.SH,商业航天+卫星导航+军工信息化+高管增持,688311
33,002542.SZ,保壳+低空经济+成都国资,002542
33,301199.SZ,机器人+智能装备+汽车制造,301199
22,600265.SH,算力租赁+协议转让+林业,600265
17,600397.SH,,600397
33,002765.SZ,减速器+汽车零部件+国企,002765
33,002501.SZ,重大资产重组+汽车铝型材+ST板块,002501
17,603327.SH,2026中报预增+折叠屏+苹果概念+福建国资,603327
33,002822.SZ,申请撤销ST+物业管理+固废资源化,002822
33,003011.SZ,PVC地板出口+员工持股+年报增长,003011
33,002977.SZ,股权转让+对外投资+军工电子+商业航天,002977
33,002471.SZ,商业航天+高温合金+定增获批,002471
22,600082.SH,ST板块+园区运营+天津国资,600082
33,002270.SZ,特高压+变压器+机器人概念,002270
17,603379.SH,,603379
33,002868.SZ,动物保健+剥离光伏+扭亏为盈,002868
17,603915.SH,机器人+精密减速器+Q1业绩增长,603915
33,002771.SZ,液冷算力+高压快充+多媒体视讯,002771
33,002496.SZ,生物农业+氨氢新能源+摘帽,002496
17,688216.SH,,688216
33,002106.SZ,,002106
33,002536.SZ,液冷服务器+机器人+汽车热管理,002536
17,600841.SH,数据中心+一季报扭亏+上海国资,600841
17,603012.SH,智慧矿山+煤机装备+华为合作+定增获批,603012
33,002067.SZ,间接持股宇树科技+机器人概念+造纸,002067
33,000909.SZ,资产整合+杭州国资+大功率充电桩,000909
17,603559.SH,摘帽+扭亏为盈+通信技术服务,603559
33,000838.SZ,重整+房地产,000838
33,000576.SZ,参股锴威特半导体+光电成像+非晶合金+军工,000576
151,920193.BJ,上市次日+锂电池+PCB概念,920193
33,002677.SZ,AI厨电+集成灶龙头+智能驾驶,002677
33,000609.SZ,,000609
17,603798.SH,润滑油+氢能催化剂+军工认证,603798
33,000016.SZ,追偿1.67亿+华润保壳预期+PCB存储芯片+央企,000016
33,001337.SZ,黄金+金精矿+国企改革,001337
17,600580.SH,间接持股宇树+人形机器人+低空经济,600580
17,605255.SH,中昊芯英入主+澄清借壳+汽车管路,605255
33,300718.SZ,机器人+自润滑轴承+具身智能,300718
33,001400.SZ,3D打印+商业航天+液冷服务器+铝挤压模具,001400
33,002082.SZ,创新药+阿尔茨海默病+ST板块,002082
33,002294.SZ,创新药+CKM慢病+JK07临床数据,002294
17,603286.SH,人形机器人+电子皮肤+北美工厂+传感器,603286
17,603211.SH,与宇树科技合资+人形机器人+机器人零部件,603211
37,000004.SZ,退市整理期+减亏+移动安全,000004
33,300779.SZ,废塑料化学循环+固废处理+增资扩股,300779
33,301499.SZ,可转债发行+半导体封装+汽车电子,301499
22,603828.SH,ST板块+控制权变更+光伏建筑一体化,603828
17,603338.SH,机器人+电动化+世界杯概念,603338
17,603013.SH,混动燃油系统+旋转变压器+一季报增长+央企,603013
17,605189.SH,人形机器人+PEEK材料+业绩增长+筒子纱龙头,605189
33,002988.SZ,定增获批+机器人+液冷散热+汽车轻量化,002988
33,002747.SZ,拟收购酷卓+具身智能+工业机器人,002747
33,002175.SZ,控制权变更+碳基新材料+精密数显量具,002175
17,603726.SH,间接投资长鑫科技、甬矽电子+机器人关节+空调风叶,603726
17,600376.SH,间接持股宇树科技+北京国资+城市更新,600376
17,605028.SH,热电联产+固废处理+高股息,605028
33,002360.SZ,债务重整+民爆一体化+执行终结,002360
22,600084.SH,葡萄酒+一季报增长+董事长变更+央企,600084
22,603377.SH,ST板块+预重整+实控人变更+智能驾培,603377
33,002979.SZ,2026中报预增+人形机器人+灵巧手,002979
33,002872.SZ,中成药集采+ST摘帽+医药研发,002872
