股票代码,涨停原因类别[20260820],code,market_code
002491.SZ,中报扭亏+光纤光缆+光棒扩产,002491,33
300363.SZ,细胞与基因治疗+创新药CDMO+业绩扭亏,300363,33
002579.SZ,PCB+定增获批+算力+光模块,002579,33
600127.SH,粮食安全+粮油加工+大健康食品+湖南国资,600127,17
601877.SH,半年报增长+低压电器+光伏+储能,601877,17
300122.SZ,默沙东代理+mRNA疫苗+GLP-1,300122,33
001360.SZ,黄金开采+矿山装备+高端装备,001360,33
002940.SZ,创新药+仿制药获批+定增过会,002940,33
605116.SH,创新药+司美格鲁肽+集采拟中选,605116,17
002731.SZ,,002731,33
002399.SZ,创新药+依诺肝素制剂+集采中标,002399,33
001277.SZ,煤炭设备后市场+农机+高管增持,001277,33
002880.SZ,血液制品+采浆增长+定增扩产+深圳国资,002880,33
001210.SZ,磁悬浮热泵+新能源供热+数据中心供冷+综合能源,001210,33
603958.SH,苹果产业链+机器人概念+重组+中报预计扭亏,603958,17
605080.SH,露营经济+智能床垫+海外产能,605080,17
603637.SH,控制权拟变更+石化工程+产业转型,603637,17
002811.SZ,MEMS芯片+室内设计+订单高增,002811,33
000710.SZ,AI医疗+基因测序+医疗服务,000710,33
600327.SH,医疗服务+百货零售+回购,600327,17
603392.SH,九价HPV疫苗+出海+创新药,603392,17
603590.SH,创新药+KAT6/7抑制剂+血凝酶龙头,603590,17
601118.SH,天然橡胶龙头+海南自贸区+国企改革,601118,17
920344.BJ,肿瘤疫苗+人干扰素α1b,920344,151
603626.SH,机器人+消费电子+AI散热+中报扭亏,603626,17
002365.SZ,牛磺酸+创新药+中报预增,002365,33
603211.SH,,603211,17
002903.SZ,机器人+消费电子+数控机床,002903,33
688137.SH,肿瘤疫苗+mRNA原料+重组蛋白+CRO,688137,17
603828.SH,ST板块+建筑装饰+装配式装修+光伏建筑一体化,603828,22
688185.SH,mRNA技术+百白破疫苗+创新疫苗,688185,17
000590.SZ,中药+流感,000590,33
300710.SZ,光纤概念+拟收购中控信息+广电网络设备,300710,33
600376.SH,,600376,17
603330.SH,,603330,17
688426.SH,分子诊断+基因测序+肺炎支原体检测,688426,17
600367.SH,,600367,17
300109.SZ,肿瘤疫苗+创新药+PVP龙头,300109,33
000007.SZ,物业管理+汽车销售+医疗器械销售+粤港澳大湾区,000007,33
603578.SH,光伏玻璃+低温储藏玻璃门体,603578,17
688658.SH,siRNA药物+创新药+FDA批准,688658,17
603666.SH,人形机器人+具身智能+华为合作,603666,17
603519.SH,半年报增长+股权转让+第三代半导体+家电复合材料,603519,17
002896.SZ,,002896,33
002552.SZ,覆铜板+黄金+业绩预增+地方国资,002552,33
002437.SZ,创新药+神经退行性疾病+仿制药龙头,002437,33
688276.SH,mRNA疫苗+肿瘤疫苗+鼻喷流感疫苗,688276,17
688433.SH,3D打印+机器人+商业航天+半年报增长,688433,17
002726.SZ,预重整+猪肉+预制菜+半年报减亏,002726,33
603988.SH,实控人涉及黄金开采+电机+风电+储能,603988,17
002248.SZ,,002248,33
003032.SZ,,003032,33
600613.SH,创新药+抗肿瘤+品牌OTC,600613,17
301166.SZ,创新药+抗体+细胞因子蛋白+股份回购,301166,33
300765.SZ,创新药+半年报扭亏+阿斯利康合作,300765,33
000520.SZ,半年报业绩大增+干散货航运+灵便型船,000520,33
002346.SZ,,002346,33
002581.SZ,创新药+神经生长因子+中药饮片,002581,33
002172.SZ,此前炒作生肖+脑机接口+医疗服务+国企改革,002172,33
688356.SH,mRNA癌症疫苗+创新药+聚乙二醇,688356,17
603016.SH,特高压+断路器+国企改革,603016,17
000017.SZ,黄金珠宝+黄金涨价+年报增长,000017,33
300009.SZ,mRNA+创新药+辅助生殖+新药受理,300009,33
002038.SZ,mRNA平台+GLP-1+创新药+国企改革,002038,33
002313.SZ,端侧AI智能模组+机器人+半年报扭亏+珠海国资,002313,33
002743.SZ,预重整+装配式建筑+钢结构,002743,33
003010.SZ,自有品牌高增+宠物经济+中报预增,003010,33
603376.SH,汽车电子+无人驾驶+赛力斯产业链,603376,17
002030.SZ,广药入主+猴痘概念+分子诊断+广州国资,002030,33
603177.SH,钠电池+大气治理+船舶SCR,603177,17
600211.SH,创新药+基因编辑+半年报增长,600211,17
920059.BJ,,920059,151
603882.SH,AI医疗+数据要素+半年报扭亏+回购,603882,17
603716.SH,创新药+高血压疫苗+脑机接口,603716,17
002667.SZ,要约收购+钨锡铅锌矿+碳酸锂,002667,33
603580.SH,控制权拟变更+轻型输送带+精密金属结构件,603580,17
600683.SH,资产重组+拟购光电子资产+TOD轨道物业+北京国资,600683,17
000523.SZ,代糖+饮料+半年报预增+广州国资,000523,33
688114.SH,基因测序+AI应用+回购,688114,17
600539.SH,半导体先进封装+机器视觉+AI应用+并购重组,600539,17
300601.SZ,mRNA疫苗+创新药+海外业务,300601,33
002412.SZ,创新药+中药+中报预增,002412,33
603036.SH,油气钻采+天然气+轨交业务,603036,17
001333.SZ,聚酯树脂+电子封装材料+产能扩张,001333,33
002333.SZ,,002333,33
603285.SH,电磁线漆+赛克产品+锂电池+拟收购,603285,17
600250.SH,国资整合+旅游+商贸+南京国资,600250,17
688105.SH,医药研发试剂+AD检测+控股股东增持,688105,17
000931.SZ,创新药+精麻镇痛+药品获批,000931,33
601700.SH,特高压+中报预增+国企改革,601700,17
300142.SZ,mRNA疫苗+创新药+海外出口,300142,33
000020.SZ,,000020,33
603801.SH,定制家居+海外业务+整家一体化+高股息,603801,17
300006.SZ,抗肿瘤药物+创新药+广西国资,300006,33
002820.SZ,,002820,33
300841.SZ,mRNA疫苗+半年报增长+狂犬病疫苗,300841,33
